agency,description,municipality,name,investment,status,latitude,longitude,created_by_id,updated_by_id,created_at,updated_at,deleted,progress
SEDER,PROGRAMA CAMINOS RENACIMIENTO,ABALÁ,Abalá,480000,FINALIZADA,20.66056981,-89.68630604,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,100
IDEFEEY,"CONSTRUCCIÓN DE UN AULA DIDÁCTICA EN LA ESCUELA PREESCOLAR PLUTARCO ELÍAS CALLES DE LA LOCALIDAD DE UAYALCEH, MUNICIPIO DE ABALÁ, CCT. 31DCC0272B.",ABALÁ,UAYALCEH,870849.19,FINALIZADA,0,0,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,100
IDEFEEY,"CONSTRUCCIÓN DE BARDA PERIMETRAL EN LA ESCUELA SECUNDARIA ERMILO ABREU GÓMEZ, DE LA LOCALIDAD Y MUNICIPIO DE ACANCEH, CCT. 31EES0001H",Acanceh,Acanceh,922240,EN_PROCESO,20.83155674,-89.45496376,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,70
IDEFEEY,"CONSTRUCCIÓN DE UN AULA EN LA ESCUELA PREESCOLAR JOSEFINA RAMOS DEL RÍO DE LA LOCALIDAD Y MUNICIPIO DE ACANCEH, CCT. 31DJN0017Z.",Acanceh,Acanceh,1198668.35,EN_PROCESO,20.83155674,-89.45496376,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,70
JUNTA DE AGUA POTABLE Y ALCANTARILLADO DE YUCATÁN,REHABILITACIÓN DEL SISTEMA DE CAPTACIÓN DE AGUA POTABLE DE LA LOCALIDAD DE AKIL DEL MUNICIPIO DE AKIL DEL ESTADO DE YUCATÁN.,Akil,Akil,1469246.35,FINALIZADA,20.26616273,-89.33983473,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,100
SEDER,PROGRAMA CAMINOS RENACIMIENTO,Akil,Akil,480000,FINALIZADA,20.26616273,-89.33983473,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,100
IVEY,"CONSTRUCCIÓN DE 31 ACCIONES  DE VIVIENDA EN LOS MUNICIPIOS DE AKIL (30) Y TEKAX (1), EN EL ESTADO DE YUCATÁN.",Akil,Akil,3814189.33,EN_PROCESO,20.26616273,-89.33983473,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,70
INCCOPY,REHABILITACIÓN DE DOS PARQUES EN EL MUNICIPIO DE BACA YUCATÁN,Baca,Baca,1995495.36,EN_PROCESO,21.10922258,-89.39562425,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,70
SEDER,PROGRAMA CAMINOS RENACIMIENTO,Baca,Baca,400000,FINALIZADA,21.10922258,-89.39562425,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,100
JUNTA DE AGUA POTABLE Y ALCANTARILLADO DE YUCATÁN,REHABILITACIÓN DEL SISTEMA DE CAPTACIÓN DE AGUA POTABLE DE LA LOCALIDAD DE BOKOBÁ DEL MUNICIPIO DE BOKOBÁ DEL ESTADO DE YUCATÁN.,Bokobá,Bokobá,1338727.95,FINALIZADA,20.99786253,-89.17666803,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,100
SEDER,PROGRAMA CAMINOS RENACIMIENTO,Bokobá,Bokobá,960000,FINALIZADA,20.99786253,-89.17666803,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,100
SSY,ACCIONES DE MANTENIMIENTO DE INFRAESTRUCTURA EN EL CENTRO DE SALUD DE BOKOBÁ,Bokobá,Bokobá,14291.2,FINALIZADA,20.99786253,-89.17666803,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,100
INCCOPY,"CONSTRUCCIÓN DEL CAMPO DE FUTBOL EN EL MUNICIPIO DE BUCTZOTZ, YUCATÁN",Buctzotz,Buctzotz,4499759.31,EN_PROCESO,21.23225337,-88.67434045,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,70
INCCOPY,"OBRAS COMPLEMENTARIAS  PARA LA CONSTRUCCIÓN DEL CAMPO DE FUTBOL EN EL MUNICIPIO DE BUCTZOTZ, YUCATÁN",Buctzotz,Buctzotz,2919161.85,EN_PROCESO,21.23225337,-88.67434045,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,70
SEDER,PROGRAMA CAMINOS RENACIMIENTO,Buctzotz,Buctzotz,960000,FINALIZADA,21.23225337,-88.67434045,1,1,13/04/26 14:06,13/04/26 14:06,FALSE,100
